Time,CPU used, RAM used, VRAM used
Mon Nov 27 02:16:20 2023,0.000000,428326912,4416989193780068353
Mon Nov 27 02:16:21 2023,0.000000,428326912,4416989193780068353
Mon Nov 27 02:16:22 2023,0.250000,428507136,4416989193780068353
Mon Nov 27 02:16:23 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:24 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:25 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:26 2023,0.250000,428507136,4416989193780068353
Mon Nov 27 02:16:27 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:28 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:29 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:30 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:31 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:32 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:33 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:34 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:35 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:36 2023,0.500000,428507136,4416989193780068353
Mon Nov 27 02:16:37 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:38 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:39 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:40 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:41 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:42 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:43 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:44 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:45 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:46 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:47 2023,0.250000,428507136,4416989193780068353
Mon Nov 27 02:16:48 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:49 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:50 2023,0.502513,428507136,4416989193780068353
Mon Nov 27 02:16:51 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:52 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:53 2023,0.250000,428507136,4416989193780068353
Mon Nov 27 02:16:54 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:55 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:56 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:57 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:58 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:16:59 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:17:00 2023,0.000000,428507136,4416989193780068353
Mon Nov 27 02:17:01 2023,2.005013,428765184,4416989193780068353
Mon Nov 27 02:17:02 2023,0.249377,428765184,4416989193780068353
