epoch,shortterm,midterm,longterm
1708324241.052,0.035645,0.077637,0.032227
1708324242.051,0.035645,0.077637,0.032227
1708324243.052,0.035645,0.077637,0.032227
1708324244.052,0.035645,0.077637,0.032227
1708324245.051,0.032715,0.076172,0.031738
1708324246.051,0.032715,0.076172,0.031738
1708324247.053,0.032715,0.076172,0.031738
1708324248.052,0.032715,0.076172,0.031738
1708324249.051,0.032715,0.076172,0.031738
1708324250.052,0.029785,0.074707,0.031250
1708324251.051,0.029785,0.074707,0.031250
1708324252.052,0.029785,0.074707,0.031250
1708324253.052,0.029785,0.074707,0.031250
1708324254.051,0.029785,0.074707,0.031250
1708324255.052,0.027344,0.073242,0.030762
1708324256.051,0.027344,0.073242,0.030762
1708324257.052,0.027344,0.073242,0.030762
1708324258.051,0.027344,0.073242,0.030762
1708324259.052,0.027344,0.073242,0.030762
1708324260.051,0.024902,0.071777,0.030273
1708324261.051,0.024902,0.071777,0.030273
1708324262.052,0.024902,0.071777,0.030273
1708324263.051,0.024902,0.071777,0.030273
1708324264.051,0.024902,0.071777,0.030273
1708324265.051,0.022461,0.070312,0.029785
1708324266.052,0.022461,0.070312,0.029785
1708324267.052,0.022461,0.070312,0.029785
1708324268.051,0.022461,0.070312,0.029785
1708324269.052,0.022461,0.070312,0.029785
1708324270.051,0.020508,0.068848,0.029297
1708324271.051,0.020508,0.068848,0.029297
1708324272.052,0.020508,0.068848,0.029297
1708324273.051,0.020508,0.068848,0.029297
1708324274.051,0.020508,0.068848,0.029297
1708324275.051,0.018555,0.067383,0.028809
1708324276.051,0.018555,0.067383,0.028809
1708324277.051,0.018555,0.067383,0.028809
1708324278.053,0.018555,0.067383,0.028809
1708324279.052,0.018555,0.067383,0.028809
1708324280.052,0.016602,0.065918,0.028320
1708324281.052,0.016602,0.065918,0.028320
1708324282.052,0.016602,0.065918,0.028320
1708324283.051,0.016602,0.065918,0.028320
1708324284.053,0.016602,0.065918,0.028320
1708324285.051,0.015137,0.064453,0.027832
1708324286.052,0.015137,0.064453,0.027832
1708324287.051,0.015137,0.064453,0.027832
1708324288.052,0.015137,0.064453,0.027832
1708324289.051,0.015137,0.064453,0.027832
1708324290.051,0.013672,0.062988,0.027344
1708324291.052,0.013672,0.062988,0.027344
1708324292.052,0.013672,0.062988,0.027344
1708324293.052,0.013672,0.062988,0.027344
1708324294.051,0.013672,0.062988,0.027344
1708324295.052,0.012207,0.061523,0.026855
1708324296.052,0.012207,0.061523,0.026855
1708324297.052,0.012207,0.061523,0.026855
1708324298.052,0.012207,0.061523,0.026855
1708324299.051,0.012207,0.061523,0.026855
1708324300.051,0.010742,0.060059,0.026367
1708324301.052,0.010742,0.060059,0.026367
1708324302.051,0.010742,0.060059,0.026367
1708324303.052,0.010742,0.060059,0.026367
